2025-07-16 01:07:22.553 UTC [60609] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-07-16 01:07:36.608 UTC [60609] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "duration", "visibility", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14) returning *
2025-07-16 01:07:36.946 UTC [60609] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-07-16 01:07:36.946 UTC [60609] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x698d73914e9496ecdb57bbb105eae5b2304714d8) already exists.
2025-07-16 01:07:36.946 UTC [60609] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "duration", "visibility", "livePhotoVideoId", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-07-16 01:07:38.057 UTC [60609] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-07-16 01:07:38.057 UTC [60609] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xfea41fbeb53a02aa16ea9cb6d0dba55e1abd0140) already exists.
2025-07-16 01:07:38.057 UTC [60609] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "duration", "visibility", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14) returning *
2025-07-16 01:07:38.684 UTC [60609] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-07-16 01:07:38.684 UTC [60609] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xff6eb17ede61fd681dec5c8e4338d064237730f3) already exists.
2025-07-16 01:07:38.684 UTC [60609] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "duration", "visibility", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14) returning *
2025-07-16 01:07:42.631 UTC [60609] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-07-16 01:07:42.631 UTC [60609] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xc3795327c6e383e19bfe7072ceea1db55d28bdf3) already exists.
2025-07-16 01:07:42.631 UTC [60609] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "duration", "visibility", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14) returning *
2025-07-16 01:07:43.471 UTC [60609] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-07-16 01:07:43.471 UTC [60609] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x7f11134bdec4994c959936590748bfb6a66e2510) already exists.
2025-07-16 01:07:43.471 UTC [60609] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "duration", "visibility", "livePhotoVideoId", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-07-16 01:07:46.774 UTC [60609] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-07-16 01:07:46.774 UTC [60609] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x944a38debe3673f19411a9038fb5aa5e29239954) already exists.
2025-07-16 01:07:46.774 UTC [60609] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "duration", "visibility", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14) returning *
2025-07-16 01:07:48.105 UTC [60609] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-07-16 01:07:48.105 UTC [60609] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x987c4f35d7e59b3bd9233884e86da07c370b4491) already exists.
2025-07-16 01:07:48.105 UTC [60609] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "duration", "visibility", "livePhotoVideoId", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
