2025-02-25 07:54:16.633 UTC [3055] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 11:23:44.086 UTC [4112] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 11:23:44.086 UTC [4112] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x997433ef8cab6c6806140ca2bfe3c85eeb4720b0) already exists.
2025-02-25 11:23:44.086 UTC [4112] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 11:23:44.699 UTC [4112] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 11:23:44.699 UTC [4112] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xb9bc949da1c2b2b48a00b631071e14aff487db2d) already exists.
2025-02-25 11:23:44.699 UTC [4112] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 11:23:45.351 UTC [4112] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 11:23:45.351 UTC [4112] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x338c13ab4aa6f58c1756e568d0ccab1e1dc85674) already exists.
2025-02-25 11:23:45.351 UTC [4112] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 11:23:45.801 UTC [4112] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 11:23:45.801 UTC [4112] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xfd1779988c81a1634fe81d00da074cd8024cdadc) already exists.
2025-02-25 11:23:45.801 UTC [4112] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 11:23:46.122 UTC [4112] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 11:23:46.122 UTC [4112] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x8063f6d711d60cb14d343c7b243d20539f4088b3) already exists.
2025-02-25 11:23:46.122 UTC [4112] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 11:23:46.452 UTC [4112] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 11:23:46.452 UTC [4112] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x1faa7351522eda5cf1fcc28a09be37da52ba1ab7) already exists.
2025-02-25 11:23:46.452 UTC [4112] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 11:23:47.174 UTC [4113] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 11:23:47.174 UTC [4113] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x5794ab2fa3fb9f7b61c4a5f9f6fee7984aaddbfb) already exists.
2025-02-25 11:23:47.174 UTC [4113] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 11:23:47.770 UTC [4114] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 11:23:47.770 UTC [4114] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xc4178bd8cd0285b5c863e9c2acbb0105afd084ad) already exists.
2025-02-25 11:23:47.770 UTC [4114] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 11:23:48.264 UTC [4112] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 11:23:48.264 UTC [4112] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xfa4795b0541e4fb42d3fcfda32e457da0c7d6cf0) already exists.
2025-02-25 11:23:48.264 UTC [4112] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 11:23:48.618 UTC [4113] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 11:23:48.618 UTC [4113] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xc1aefad5bb553882e03db6a8aa7d30e5fdc7e45a) already exists.
2025-02-25 11:23:48.618 UTC [4113] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 11:23:49.089 UTC [4114] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 11:23:49.089 UTC [4114] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x1e7b9244e95495aaa5ce30b78ab197d2f4fbba91) already exists.
2025-02-25 11:23:49.089 UTC [4114] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 11:23:49.320 UTC [4112] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 11:23:49.320 UTC [4112] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x410ef4cd3d89a6bb59fc72d5485f65bb646ffd05) already exists.
2025-02-25 11:23:49.320 UTC [4112] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 11:23:49.712 UTC [4112] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 11:23:49.712 UTC [4112] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xeaa8922de3097c6adbf6c1144d74487ddd1cf4da) already exists.
2025-02-25 11:23:49.712 UTC [4112] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 11:23:51.173 UTC [4112] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 11:23:51.173 UTC [4112] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xec8a84ce22f2cf1a5d176eecaeb64984f34e5f90) already exists.
2025-02-25 11:23:51.173 UTC [4112] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 11:23:56.578 UTC [4112] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 11:23:56.578 UTC [4112] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x3079e94d7f6d533b12759751ed0eb6b874990d99) already exists.
2025-02-25 11:23:56.578 UTC [4112] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 11:24:33.097 UTC [4112] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 11:24:33.097 UTC [4112] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xdaad8c5454b16aa102c26d312bcc2a80475da6b5) already exists.
2025-02-25 11:24:33.097 UTC [4112] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 11:24:33.677 UTC [4113] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 11:24:33.677 UTC [4113] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x03689fef56431fb141ac38a17396328c8bf0db67) already exists.
2025-02-25 11:24:33.677 UTC [4113] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 11:24:34.175 UTC [4114] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 11:24:34.175 UTC [4114] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x2699aeb495795f0b8713a403c1f7ac019b304cef) already exists.
2025-02-25 11:24:34.175 UTC [4114] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 11:24:34.862 UTC [4112] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 11:24:34.862 UTC [4112] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x56fa4e415bb9509e1cddd8ec2ac594e4404af73b) already exists.
2025-02-25 11:24:34.862 UTC [4112] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 11:24:35.525 UTC [4113] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 11:24:35.525 UTC [4113] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x73d8802d3daead13c673d74830cdbd2a8bec0bcf) already exists.
2025-02-25 11:24:35.525 UTC [4113] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 11:24:36.166 UTC [4114] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 11:24:36.166 UTC [4114] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x39705c1e229d260ac4a93d8460e8d0fe7c94cae0) already exists.
2025-02-25 11:24:36.166 UTC [4114] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 11:24:36.960 UTC [4112] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 11:24:36.960 UTC [4112] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x8461d3c6dda9f8e908b81935a82c95f06ca24383) already exists.
2025-02-25 11:24:36.960 UTC [4112] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 11:24:37.944 UTC [4113] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 11:24:37.944 UTC [4113] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xe373baac45b041d287bff2c805d811dcff6bb7ac) already exists.
2025-02-25 11:24:37.944 UTC [4113] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 11:24:38.813 UTC [4114] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 11:24:38.813 UTC [4114] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x901450b8211e77b2adf5c123d64c78af87bbb762) already exists.
2025-02-25 11:24:38.813 UTC [4114] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 11:24:39.772 UTC [4112] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 11:24:39.772 UTC [4112] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xf9f30ac5dffd8764e2e23c71ede8b07c56eb9649) already exists.
2025-02-25 11:24:39.772 UTC [4112] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 11:24:40.880 UTC [4113] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 11:24:40.880 UTC [4113] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xe96aa5da0b2750a95eaa9cfcec8df3033497134a) already exists.
2025-02-25 11:24:40.880 UTC [4113] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 11:24:42.393 UTC [4114] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 11:24:42.393 UTC [4114] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x20eb71568929418d6f75ab8a9a698fc3ccb8fd34) already exists.
2025-02-25 11:24:42.393 UTC [4114] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 11:24:44.002 UTC [4112] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
