2025-03-26 23:36:12.116 UTC [22500] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-03-26 23:36:20.303 UTC [22509] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-03-26 23:36:20.587 UTC [22508] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-03-26 23:36:20.587 UTC [22508] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x691ec20aaf013a3cc3db5cf5bab274127cfa0a7f) already exists.
2025-03-26 23:36:20.587 UTC [22508] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-03-26 23:36:20.938 UTC [22503] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-03-26 23:36:20.938 UTC [22503] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x8daa5dd6c63c5490dbca69e47dfc016c9ba4c725) already exists.
2025-03-26 23:36:20.938 UTC [22503] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-03-26 23:36:21.259 UTC [22501] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-03-26 23:36:21.259 UTC [22501] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x1b26bedd74462991b51421af5425c6ac4d911900) already exists.
2025-03-26 23:36:21.259 UTC [22501] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-03-26 23:36:21.650 UTC [22500] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-03-26 23:36:21.650 UTC [22500] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xd30733603564585e3163266dcf7e9bb74175279a) already exists.
2025-03-26 23:36:21.650 UTC [22500] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-03-26 23:36:21.961 UTC [22501] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-03-26 23:36:21.961 UTC [22501] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x2c972081d2c5ba09f83a717dd8e5b4425e6d4cf9) already exists.
2025-03-26 23:36:21.961 UTC [22501] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-03-26 23:36:22.372 UTC [22504] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-03-26 23:36:22.372 UTC [22504] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xad6940b0ce06bdc0cd53780f9e4f515268ced999) already exists.
2025-03-26 23:36:22.372 UTC [22504] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-03-26 23:36:27.706 UTC [22507] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-03-26 23:36:27.706 UTC [22507] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x7b07273896358f66dc69851a585b82f43cc547c1) already exists.
2025-03-26 23:36:27.706 UTC [22507] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-03-26 23:36:28.041 UTC [22503] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-03-26 23:36:28.041 UTC [22503] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xbbcf515b801934ea68effb63689e521e1f9b388e) already exists.
2025-03-26 23:36:28.041 UTC [22503] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-03-26 23:36:34.303 UTC [22507] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-03-26 23:36:34.303 UTC [22507] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x88367eed2876c06b9273c70df805dd20809ca16d) already exists.
2025-03-26 23:36:34.303 UTC [22507] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-03-26 23:36:34.750 UTC [22506] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-03-26 23:36:34.750 UTC [22506] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x3503f009f1eeab454697373a8dbc2a4f3ddd0b79) already exists.
2025-03-26 23:36:34.750 UTC [22506] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-03-26 23:36:35.171 UTC [22507] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-03-26 23:36:35.171 UTC [22507] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x8467a604f85a21eaee8881c436bb4e6ca08f2491) already exists.
2025-03-26 23:36:35.171 UTC [22507] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-03-26 23:36:35.587 UTC [22506] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-03-26 23:36:35.587 UTC [22506] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xd0de3bdccdcd50d8168195d807ba2fa5d8d99f54) already exists.
2025-03-26 23:36:35.587 UTC [22506] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-03-26 23:36:36.324 UTC [22503] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-03-26 23:36:36.324 UTC [22503] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x17d6dd2ec7ba8d98c755974a81b4ae7befc6102a) already exists.
2025-03-26 23:36:36.324 UTC [22503] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-03-26 23:36:36.776 UTC [22508] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-03-26 23:36:36.776 UTC [22508] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x2c26baa5c54e30ab627ac12542ae04fdd74beb39) already exists.
2025-03-26 23:36:36.776 UTC [22508] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-03-26 23:36:37.216 UTC [22503] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-03-26 23:36:37.216 UTC [22503] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xbf645ab1265b955135ffe763d2cb8e9beba0d030) already exists.
2025-03-26 23:36:37.216 UTC [22503] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-03-26 23:36:38.778 UTC [22508] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-03-26 23:36:38.778 UTC [22508] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xe372df5a54b814bc42e95f5f8f5a318053fa8fd2) already exists.
2025-03-26 23:36:38.778 UTC [22508] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
